t	Si	Ss	Xi	Xs	Xbh	Xba	Xp	So	Sno	Snh	Snd	Xnd	Salk	Q
0	30	63.63455	58.476	224.352	31.425	0	0	0	0	30.24762	6.36346	11.814	7	21477
0.010416667	30	61.67313	58.459	224.324	31.42	0	0	0	0	30.21283	6.16731	11.812	7	21474
0.020833333	30	61.71973	53.069	224.373	30.827	0	0	0	0	31.04771	6.17197	11.589	7	19620
0.03125	30	62.16018	51.462	220.973	30.27	0	0	0	0	31.67387	6.21602	11.38	7	19334
0.041666667	30	64.57526	49.73	217.74	29.719	0	0	0	0	33.15925	6.45753	11.172	7	18978
0.052083333	30	67.84871	47.194	214.339	29.059	0	0	0	0	35.11773	6.78487	10.925	7	18321
0.0625	30	72.14054	47.16	219.925	29.676	0	0	0	0	37.86587	7.21405	11.156	7	17855
0.072916667	30	72.47069	44.126	213.292	28.602	0	0	0	0	37.86587	7.24707	10.753	7	17237
0.083333333	30	69.7643	40.893	207.115	27.556	0	0	0	0	36.8501	6.97643	10.36	7	16453
0.09375	30	67.49915	39.927	201.059	26.776	0	0	0	0	36.47441	6.74992	10.066	7	16548
0.104166667	30	62.83833	38.351	196.112	26.051	0	0	0	0	34.38721	6.28383	9.794	7	16295
0.114583333	30	62.46546	33.82	190.698	24.946	0	0	0	0	34.67942	6.24655	9.378	7	14743
0.125	30	53.74197	30.127	183.215	23.705	0	0	0	0	32.06695	5.3742	8.912	7	13613
0.135416667	30	54.44886	27.179	174.894	22.453	0	0	0	0	29.89975	5.44489	8.441	7	12807
0.145833333	30	50.06769	24.696	166.418	21.235	0	0	0	0	27.06813	5.00677	7.983	7	12173
0.15625	30	46.35457	22.34	157.98	20.036	0	0	0	0	24.70265	4.63546	7.532	7	11533
0.166666667	30	44.35819	22.416	150.774	19.243	0	0	0	0	23.38772	4.43582	7.234	7	12198
0.177083333	30	42.57931	20.641	144.789	18.381	0	0	0	0	22.19802	4.25793	6.91	7	11640
0.1875	30	40.00033	20.38	139.342	17.747	0	0	0	0	20.31607	4.00003	6.672	7	11978
0.197916667	30	40.38873	21.877	136.217	17.566	0	0	0	0	20.54218	4.03887	6.604	7	13272
0.208333333	30	40.77713	20.272	133.834	17.123	0	0	0	0	20.71611	4.07771	6.437	7	12452
0.21875	30	40.46641	21.441	131.837	17.031	0	0	0	0	20.7509	4.04664	6.403	7	13453
0.229166667	30	40.83539	21.895	131.328	17.025	0	0	0	0	20.66393	4.08354	6.4	7	13815
0.239583333	30	40.46641	21.843	131.113	16.995	0	0	0	0	20.61175	4.04664	6.389	7	13803
0.25	30	40.50525	19.724	129.632	16.595	0	0	0	0	20.54218	4.05053	6.239	7	12514
0.260416667	30	40.52467	19.397	127.223	16.291	0	0	0	0	20.43782	4.05247	6.124	7	12542
0.270833333	30	40.31105	18.065	124.57	15.848	0	0	0	0	20.40303	4.03111	5.958	7	11865
0.28125	30	40.11685	18.032	122.009	15.56	0	0	0	0	20.15953	4.01169	5.85	7	12118
0.291666667	30	40.04693	17.431	119.832	15.252	0	0	0	0	20.02734	4.00469	5.734	7	11906
0.302083333	30	40.34212	17.354	117.937	15.032	0	0	0	0	19.99951	4.03421	5.651	7	12059
0.3125	30	40.58293	17.689	116.835	14.947	0	0	0	0	20.10039	4.05829	5.619	7	12446
0.322916667	30	40.89365	18.368	116.724	15.01	0	0	0	0	20.40303	4.08937	5.643	7	12982
0.333333333	30	41.16553	18.373	116.978	15.039	0	0	0	0	20.82047	4.11655	5.654	7	12956
0.34375	30	41.86465	18.087	116.911	15	0	0	0	0	21.16834	4.18647	5.639	7	12745
0.354166667	30	42.42395	19.31	117.556	15.207	0	0	0	0	21.6136	4.2424	5.717	7	13597
0.364583333	30	43.94649	20.389	119.384	15.53	0	0	0	0	22.1354	4.39465	5.838	7	14171
0.375	30	48.77431	25.748	121.592	16.371	0	0	0	0	24.68178	4.87743	6.155	7	17637
0.385416667	30	59.88648	27.434	129.566	17.444	0	0	0	0	29.65625	5.98865	6.558	7	17635
0.395833333	30	71.46084	38.139	139.287	19.714	0	0	0	0	34.24807	7.14608	7.411	7	22461
0.40625	30	80.00567	50.426	153.938	22.707	0	0	0	0	37.93544	8.00057	8.536	7	26276
0.416666667	30	94.90087	54.355	171.093	25.05	0	0	0	0	43.39692	9.49009	9.417	7	25598
0.427083333	30	105.7761	64.853	185.275	27.792	0	0	0	0	46.61468	10.57761	10.448	7	27780
0.4375	30	115.2104	75.754	200.681	30.715	0	0	0	0	49.24802	11.52104	11.547	7	29551
0.447916667	30	120.011	88.949	214.334	33.698	0	0	0	0	49.99941	12.0011	12.668	7	31861
0.458333333	30	118.9701	96.678	230.083	36.307	0	0	0	0	49.24802	11.89701	13.649	7	32171
0.46875	30	112.1109	102.536	243.93	38.496	0	0	0	0	45.74154	11.21109	14.472	7	32180
0.479166667	30	102.4553	106.178	255.77	40.216	0	0	0	0	40.85751	10.24553	15.119	7	31869
0.489583333	30	94.81153	95.513	269.734	40.583	0	0	0	0	39.03469	9.48115	15.257	7	28047
0.5	30	88.37961	91.175	273.186	40.485	0	0	0	0	36.8501	8.83796	15.22	7	26695
0.510416667	30	81.2874	90.707	271.839	40.283	0	0	0	0	34.24807	8.12874	15.144	7	26690
0.520833333	30	75.7721	86.229	271.755	39.776	0	0	0	0	32.16088	7.57721	14.953	7	25572
0.53125	30	70.37332	85.708	271.04	39.639	0	0	0	0	30.77985	7.03733	14.902	7	25496
0.541666667	30	68.27595	74.128	271.535	38.407	0	0	0	0	29.79539	6.8276	14.439	7	22401
0.552083333	30	67.03307	87.453	263.672	39.014	0	0	0	0	29.23881	6.70331	14.667	7	26555
0.5625	30	66.76507	85.832	266.445	39.142	0	0	0	0	28.52221	6.67651	14.715	7	25905
0.572916667	30	67.07967	80.16	267.819	38.664	0	0	0	0	27.95867	6.70797	14.535	7	24310
0.583333333	30	68.08952	76.218	265.864	38.009	0	0	0	0	28.12564	6.80895	14.289	7	23404
0.59375	30	68.72261	65.424	263.151	36.508	0	0	0	0	27.55166	6.87226	13.725	7	20560
0.604166667	30	68.31479	57.193	253.853	34.561	0	0	0	0	27.4647	6.83148	12.993	7	18732
0.614583333	30	65.16874	76.515	243.929	35.605	0	0	0	0	26.45589	6.51687	13.385	7	25320
0.625	30	61.64516	70.05	248.609	35.407	0	0	0	0	26.1776	6.16452	13.311	7	23046
0.635416667	30	59.76219	64.178	247.734	34.657	0	0	0	0	26.28891	5.97622	13.029	7	21357
0.645833333	30	58.94655	66.787	243.61	34.489	0	0	0	0	26.78984	5.89466	12.966	7	22487
0.65625	30	59.38933	53.093	242.491	32.843	0	0	0	0	27.29076	5.93893	12.347	7	18221
0.666666667	30	60.21274	48.589	232.067	31.184	0	0	0	0	27.12379	6.02127	11.723	7	17442
0.677083333	30	62.42662	51.669	222.927	30.511	0	0	0	0	27.42295	6.24266	11.47	7	19246
0.6875	30	65.86786	50.501	218.476	29.886	0	0	0	0	28.33436	6.58679	11.235	7	19197
0.697916667	30	65.61928	51.124	215.949	29.675	0	0	0	0	28.2787	6.56193	11.156	7	19637
0.708333333	30	64.00353	49	214.119	29.235	0	0	0	0	27.7082	6.40035	10.991	7	19014
0.71875	30	59.54469	46.94	211.29	28.692	0	0	0	0	26.68548	5.95447	10.787	7	18480
0.729166667	30	58.34064	45.213	206.648	27.985	0	0	0	0	26.57068	5.83406	10.521	7	18208
0.739583333	30	57.33857	45.476	203.928	27.712	0	0	0	0	26.62286	5.73386	10.418	7	18547
0.75	30	58.6902	45.367	202.095	27.496	0	0	0	0	27.4647	5.86902	10.337	7	18666
0.760416667	30	60.46908	45.055	200.656	27.301	0	0	0	0	28.33436	6.04691	10.264	7	18670
0.770833333	30	63.25004	44.733	199.403	27.126	0	0	0	0	29.26664	6.325	10.198	7	18654
0.78125	30	62.37225	56.415	199.337	28.417	0	0	0	0	30.63027	6.23723	10.683	7	23137
0.791666667	30	62.21689	56.515	205.917	29.159	0	0	0	0	30.58853	6.22169	10.962	7	22509
0.802083333	30	62.01492	56.336	210.193	29.614	0	0	0	0	28.16043	6.20149	11.133	7	22031
0.8125	30	66.41162	58.428	213.092	30.169	0	0	0	0	29.79539	6.64116	11.342	7	22489
0.822916667	30	67.18843	49.053	215.986	29.449	0	0	0	0	29.82322	6.71884	11.071	7	18876
0.833333333	30	68.47015	53.236	212.866	29.567	0	0	0	0	30.30328	6.84702	11.115	7	20674
0.84375	30	71.88808	63.453	213.65	30.789	0	0	0	0	32.13305	7.18881	11.575	7	24145
0.854166667	30	75.64392	60.41	220.002	31.157	0	0	0	0	33.77149	7.56439	11.713	7	22518
0.864583333	30	77.44222	61.911	222.34	31.583	0	0	0	0	34.30373	7.74422	11.873	7	22803
0.875	30	80.08335	59.52	224.886	31.601	0	0	0	0	35.63953	8.00834	11.88	7	21780
0.885416667	30	82.60408	51.651	225.05	30.745	0	0	0	0	36.06393	8.26041	11.558	7	19067
0.895833333	30	83.83531	72.083	220.693	32.531	0	0	0	0	35.93174	8.38353	12.23	7	26211
0.90625	30	84.21983	68.088	229.788	33.097	0	0	0	0	35.45168	8.42198	12.443	7	24096
