t	Si	Ss	Xi	Xs	Xbh	Xba	Xp	So	Sno	Snh	Snd	Xnd	Salk	Q
0	30	63.63455	58.476	224.352	31.425	0	0	0	0	30.24762	6.36346	11.81402	7	21477
0.010416667	30	61.67313	58.459	224.324	31.42	0	0	0	0	30.21283	6.16731	11.81214	7	21474
0.020833333	30	61.71973	53.069	224.373	30.827	0	0	0	0	31.04771	6.17197	11.58906	7	19620
0.03125	30	62.16018	51.462	220.973	30.27	0	0	0	0	31.67387	6.21602	11.37989	7	19334
0.041666667	30	64.57526	49.73	217.74	29.719	0	0	0	0	33.15925	6.45753	11.17252	7	18978
0.052083333	30	67.84871	47.194	214.339	29.059	0	0	0	0	35.11773	6.78487	10.92451	7	18321
0.0625	30	72.14054	47.16	219.925	29.676	0	0	0	0	37.86587	7.21405	11.15643	7	17855
0.072916667	30	72.47069	44.126	213.292	28.602	0	0	0	0	37.86587	7.24707	10.75263	7	17237
0.083333333	30	69.7643	40.893	207.115	27.556	0	0	0	0	36.8501	6.97643	10.35955	7	16453
0.09375	30	67.49915	39.927	201.059	26.776	0	0	0	0	36.47441	6.74992	10.06624	7	16548
0.104166667	30	62.83833	38.351	196.112	26.051	0	0	0	0	34.38721	6.28383	9.79376	7	16295
0.114583333	30	62.46546	33.82	190.698	24.946	0	0	0	0	34.67942	6.24655	9.37835	7	14743
0.125	30	53.74197	30.127	183.215	23.705	0	0	0	0	32.06695	5.3742	8.91154	7	13613
0.135416667	30	54.44886	27.179	174.894	22.453	0	0	0	0	29.89975	5.44489	8.44083	7	12807
0.145833333	30	50.06769	24.696	166.418	21.235	0	0	0	0	27.06813	5.00677	7.98305	7	12173
0.15625	30	46.35457	22.34	157.98	20.036	0	0	0	0	24.70265	4.63546	7.53218	7	11533
0.166666667	30	44.35819	22.416	150.774	19.243	0	0	0	0	23.38772	4.43582	7.23432	7	12198
0.177083333	30	42.57931	20.641	144.789	18.381	0	0	0	0	22.19802	4.25793	6.91019	7	11640
0.1875	30	40.00033	20.38	139.342	17.747	0	0	0	0	20.31607	4.00003	6.67177	7	11978
0.197916667	30	40.38873	21.877	136.217	17.566	0	0	0	0	20.54218	4.03887	6.60376	7	13272
0.208333333	30	40.77713	20.272	133.834	17.123	0	0	0	0	20.71611	4.07771	6.43718	7	12452
0.21875	30	40.46641	21.441	131.837	17.031	0	0	0	0	20.7509	4.04664	6.40259	7	13453
0.229166667	30	40.83539	21.895	131.328	17.025	0	0	0	0	20.66393	4.08354	6.4003	7	13815
0.239583333	30	40.46641	21.843	131.113	16.995	0	0	0	0	20.61175	4.04664	6.38914	7	13803
0.25	30	40.50525	19.724	129.632	16.595	0	0	0	0	20.54218	4.05053	6.23876	7	12514
0.260416667	30	40.52467	19.397	127.223	16.291	0	0	0	0	20.43782	4.05247	6.12447	7	12542
0.270833333	30	40.31105	18.065	124.57	15.848	0	0	0	0	20.40303	4.03111	5.95801	7	11865
0.28125	30	40.11685	18.032	122.009	15.56	0	0	0	0	20.15953	4.01169	5.84966	7	12118
0.291666667	30	40.04693	17.431	119.832	15.252	0	0	0	0	20.02734	4.00469	5.73365	7	11906
0.302083333	30	40.34212	17.354	117.937	15.032	0	0	0	0	19.99951	4.03421	5.65124	7	12059
0.3125	30	40.58293	17.689	116.835	14.947	0	0	0	0	20.10039	4.05829	5.61921	7	12446
0.322916667	30	40.89365	18.368	116.724	15.01	0	0	0	0	20.40303	4.08937	5.64293	7	12982
0.333333333	30	41.16553	18.373	116.978	15.039	0	0	0	0	20.82047	4.11655	5.65376	7	12956
0.34375	30	41.86465	18.087	116.911	15	0	0	0	0	21.16834	4.18647	5.63902	7	12745
